Isotope,Energy,Intensity,unc_intensity,Half life (s),Half life (m),half life (h),half life (d)
61CU,276.688,0.026,0.005,11998.8,199.98,3.3329999999999997,0.138875
61CU,282.956,12.2,0.61,11998.8,199.98,3.3329999999999997,0.138875
61FE,297.9,21.4,2.1,358.8,5.98,0.09966666666666667,0.004152777777777778
57NI,304.1,0.002,0.0006,128160.0,2136.0,35.6,1.4833333333333334
62ZN,304.88,0.29,0.03,33336.0,555.6,9.26,0.3858333333333333
61FE,333.0,0.21,0.04,358.8,5.98,0.09966666666666667,0.004152777777777778
59FE,334.8,0.27,0.011,3844368.0,64072.8,1067.88,44.495
57CO,339.69,0.0037,0.0003,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
65ZN,344.95,0.00253,0.00018,21075550.0,351259.1666666667,5854.319444444444,243.92997685185185
CO-60g,347.14,0.0075,0.0004,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
62ZN,349.6,0.45,0.04,33336.0,555.6,9.26,0.3858333333333333
61FE,349.7,0.16,0.04,358.8,5.98,0.09966666666666667,0.004152777777777778
57CO,352.33,0.003,0.0003,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
63ZN,365.2,0.0115,0.0025,2308.2,38.47,0.6411666666666667,0.026715277777777775
65NI,366.27,4.81,0.06,9061.884,151.0314,2.51719,0.10488291666666667
57CO,366.8,0.0012,0.0003,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
61CU,373.05,2.1,0.4,11998.8,199.98,3.3329999999999997,0.138875
FE-53g,377.9,42.0,2.1,510.6,8.51,0.14183333333333334,0.0059097222222222225
57NI,379.94,0.067,0.0021,128160.0,2136.0,35.6,1.4833333333333334
59FE,382.0,0.018,0.003,3844368.0,64072.8,1067.88,44.495
62ZN,385.31,0.0174,0.0021,33336.0,555.6,9.26,0.3858333333333333
55CO,385.4,0.54,0.05,63108.0,1051.8,17.53,0.7304166666666667
62ZN,394.03,2.24,0.17,33336.0,555.6,9.26,0.3858333333333333
56CO,411.145,0.024,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,411.5,1.07,0.08,63108.0,1051.8,17.53,0.7304166666666667
61FE,440.5,0.21,0.04,358.8,5.98,0.09966666666666667,0.004152777777777778
63ZN,443.13,0.016,0.004,2308.2,38.47,0.6411666666666667,0.026715277777777775
61CU,443.5,0.0037,0.0014,11998.8,199.98,3.3329999999999997,0.138875
63ZN,449.93,0.236,0.019,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,467.3,3.52,0.18,1422.0,23.7,0.395,0.016458333333333332
63ZN,475.8,0.006,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
55CO,477.2,20.2,1.7,63108.0,1051.8,17.53,0.7304166666666667
62CU,479.6,0.00024,7e-05,580.38,9.673,0.16121666666666667,0.0067173611111111114
56NI,480.44,36.5,0.8,524880.0,8748.0,145.8,6.075
56CO,486.55,0.054,0.002,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
62ZN,489.17,0.0159,0.002,33336.0,555.6,9.26,0.3858333333333333
60CU,497.9,1.67,0.09,1422.0,23.7,0.395,0.016458333333333332
62ZN,507.6,14.8,1.4,33336.0,555.6,9.26,0.3858333333333333
65NI,507.9,0.293,0.005,9061.884,151.0314,2.51719,0.10488291666666667
64CU,511.0,35.2,0.4,45723.6,762.06,12.700999999999999,0.5292083333333333
57NI,511.0,87.0,3.0,128160.0,2136.0,35.6,1.4833333333333334
62ZN,511.0,16.4,2.0,33336.0,555.6,9.26,0.3858333333333333
FE-53g,511.0,194.0,23.0,510.6,8.51,0.14183333333333334,0.0059097222222222225
62CU,511.0,195.66,0.05,580.38,9.673,0.16121666666666667,0.0067173611111111114
56NI,511.0,0.0013,0.0012,524880.0,8748.0,145.8,6.075
61CU,511.0,123.0,10.0,11998.8,199.98,3.3329999999999997,0.138875
60CU,511.0,185.0,8.0,1422.0,23.7,0.395,0.016458333333333332
55CO,511.0,152.0,7.0,63108.0,1051.8,17.53,0.7304166666666667
63ZN,511.0,185.5,1.7,2308.2,38.47,0.6411666666666667,0.026715277777777775
65ZN,511.0,2.842,0.014,21075550.0,351259.1666666667,5854.319444444444,243.92997685185185
56CO,511.0,39.0,3.0,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
CO-58g,511.0,29.8,0.4,6122304.0,102038.4,1700.64,70.86
63ZN,515.0,0.021,0.008,2308.2,38.47,0.6411666666666667,0.026715277777777775
55CO,520.0,0.83,0.08,63108.0,1051.8,17.53,0.7304166666666667
61CU,529.169,0.38,0.07,11998.8,199.98,3.3329999999999997,0.138875
63ZN,533.8,0.0049,0.0016,2308.2,38.47,0.6411666666666667,0.026715277777777775
57NI,541.9,0.0037,0.0005,128160.0,2136.0,35.6,1.4833333333333334
61FE,542.6,0.06,0.03,358.8,5.98,0.09966666666666667,0.004152777777777778
61CU,545.0,0.0059,0.0011,11998.8,199.98,3.3329999999999997,0.138875
62ZN,548.35,15.3,1.4,33336.0,555.6,9.26,0.3858333333333333
61FE,561.4,0.05,0.03,358.8,5.98,0.09966666666666667,0.004152777777777778
57CO,570.09,0.0158,0.001,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
63ZN,584.82,0.033,0.004,2308.2,38.47,0.6411666666666667,0.026715277777777775
61CU,588.605,1.17,0.21,11998.8,199.98,3.3329999999999997,0.138875
62ZN,596.56,26.0,1.3,33336.0,555.6,9.26,0.3858333333333333
61FE,603.3,0.07,0.03,358.8,5.98,0.09966666666666667,0.004152777777777778
65NI,609.5,0.155,0.004,9061.884,151.0314,2.51719,0.10488291666666667
60CU,611.0,0.011,0.011,1422.0,23.7,0.395,0.016458333333333332
60CU,614.0,0.011,0.011,1422.0,23.7,0.395,0.016458333333333332
61FE,618.4,0.9,0.09,358.8,5.98,0.09966666666666667,0.004152777777777778
63ZN,624.3,0.014,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
61CU,625.605,0.04,0.009,11998.8,199.98,3.3329999999999997,0.138875
62ZN,627.8,0.0008,0.0003,33336.0,555.6,9.26,0.3858333333333333
61CU,629.9,0.006,0.003,11998.8,199.98,3.3329999999999997,0.138875
62ZN,637.41,0.25,0.03,33336.0,555.6,9.26,0.3858333333333333
60CU,643.2,0.97,0.05,1422.0,23.7,0.395,0.016458333333333332
62ZN,644.82,0.0143,0.0013,33336.0,555.6,9.26,0.3858333333333333
56CO,655.003,0.043,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
61CU,656.008,10.8,2.0,11998.8,199.98,3.3329999999999997,0.138875
61FE,657.3,0.21,0.09,358.8,5.98,0.09966666666666667,0.004152777777777778
62ZN,657.5,0.0013,0.0003,33336.0,555.6,9.26,0.3858333333333333
63ZN,669.62,8.2,0.41,2308.2,38.47,0.6411666666666667,0.026715277777777775
62ZN,671.84,0.0044,0.0006,33336.0,555.6,9.26,0.3858333333333333
57NI,673.44,0.0491,0.0012,128160.0,2136.0,35.6,1.4833333333333334
56CO,674.57,0.024,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
63ZN,675.0,0.015,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,681.0,0.035,0.018,1422.0,23.7,0.395,0.016458333333333332
63ZN,685.6,0.0041,0.0016,2308.2,38.47,0.6411666666666667,0.026715277777777775
61FE,686.0,0.39,0.08,358.8,5.98,0.09966666666666667,0.004152777777777778
57CO,692.41,0.149,0.01,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
57NI,696.0,0.0009,0.0007,128160.0,2136.0,35.6,1.4833333333333334
61FE,696.9,0.11,0.03,358.8,5.98,0.09966666666666667,0.004152777777777778
FE-53m,701.1,100.0,5.0,152.4,2.54,0.042333333333333334,0.001763888888888889
57CO,706.54,0.005,0.0005,23478340.0,391305.6666666667,6521.761111111111,271.74004629629627
62ZN,731.23,0.0023,0.0004,33336.0,555.6,9.26,0.3858333333333333
56CO,733.514,0.191,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
60CU,739.6,0.08,0.03,1422.0,23.7,0.395,0.016458333333333332
63ZN,742.25,0.067,0.009,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,748.0,0.057,0.025,1422.0,23.7,0.395,0.016458333333333332
61FE,748.1,0.78,0.08,358.8,5.98,0.09966666666666667,0.004152777777777778
56NI,749.95,49.5,1.2,524880.0,8748.0,145.8,6.075
63ZN,754.8,0.0066,0.0025,2308.2,38.47,0.6411666666666667,0.026715277777777775
57NI,755.3,0.0054,0.0007,128160.0,2136.0,35.6,1.4833333333333334
63ZN,765.7,0.0066,0.0025,2308.2,38.47,0.6411666666666667,0.026715277777777775
61FE,769.4,0.16,0.04,358.8,5.98,0.09966666666666667,0.004152777777777778
65ZN,770.6,0.00268,0.00022,21075550.0,351259.1666666667,5854.319444444444,243.92997685185185
65NI,770.6,0.104,0.007,9061.884,151.0314,2.51719,0.10488291666666667
56CO,787.743,0.311,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
62ZN,792.03,0.0088,0.001,33336.0,555.6,9.26,0.3858333333333333
55CO,803.7,1.87,0.15,63108.0,1051.8,17.53,0.7304166666666667
61FE,806.3,0.18,0.05,358.8,5.98,0.09966666666666667,0.004152777777777778
CO-58g,810.7593,99.45,4.9725,6122304.0,102038.4,1700.64,70.86
56NI,811.85,86.0,0.9,524880.0,8748.0,145.8,6.075
61CU,816.692,0.31,0.06,11998.8,199.98,3.3329999999999997,0.138875
61CU,820.89,0.022,0.005,11998.8,199.98,3.3329999999999997,0.138875
CO-60m,826.1,0.0078,0.0012,628.02,10.467,0.17445,0.00726875
CO-60g,826.1,0.0076,0.0008,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
60CU,826.4,21.7,1.1,1422.0,23.7,0.395,0.016458333333333332
55CO,827.0,0.21,0.06,63108.0,1051.8,17.53,0.7304166666666667
62ZN,827.59,0.003,0.0004,33336.0,555.6,9.26,0.3858333333333333
66CU,833.0,0.22,0.004,307.2,5.12,0.08533333333333333,0.0035555555555555553
60CU,839.2,0.46,0.07,1422.0,23.7,0.395,0.016458333333333332
61CU,841.211,0.21,0.04,11998.8,199.98,3.3329999999999997,0.138875
56CO,846.77,99.9399,4.996995,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
61CO,850.0,0.79,0.07,5940.0,99.0,1.65,0.06875
65NI,852.7,0.097,0.012,9061.884,151.0314,2.51719,0.10488291666666667
56CO,852.732,0.049,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
62CU,856.2,0.00014,7e-05,580.38,9.673,0.16121666666666667,0.0067173611111111114
CO-58g,863.951,0.686,0.01,6122304.0,102038.4,1700.64,70.86
62CU,875.66,0.147,0.01,580.38,9.673,0.16121666666666667,0.0067173611111111114
63ZN,877.2,0.0033,0.0016,2308.2,38.47,0.6411666666666667,0.026715277777777775
62ZN,881.4,0.0146,0.0015,33336.0,555.6,9.26,0.3858333333333333
60CU,896.3,0.13,0.05,1422.0,23.7,0.395,0.016458333333333332
56CO,896.51,0.073,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
63ZN,899.0,0.012,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
61CU,902.294,0.083,0.016,11998.8,199.98,3.3329999999999997,0.138875
57NI,906.98,0.0613,0.0021,128160.0,2136.0,35.6,1.4833333333333334
61CU,908.631,1.1,0.2,11998.8,199.98,3.3329999999999997,0.138875
60CU,909.2,2.02,0.09,1422.0,23.7,0.395,0.016458333333333332
62ZN,915.44,0.0153,0.0016,33336.0,555.6,9.26,0.3858333333333333
61CO,917.5,3.6,0.3,5940.0,99.0,1.65,0.06875
63ZN,924.3,0.0098,0.002,2308.2,38.47,0.6411666666666667,0.026715277777777775
61FE,925.6,0.33,0.04,358.8,5.98,0.09966666666666667,0.004152777777777778
55CO,931.1,75.0,3.75,63108.0,1051.8,17.53,0.7304166666666667
61FE,945.4,0.11,0.03,358.8,5.98,0.09966666666666667,0.004152777777777778
61CU,947.4,0.01,0.005,11998.8,199.98,3.3329999999999997,0.138875
60CU,952.4,2.73,0.18,1422.0,23.7,0.395,0.016458333333333332
65NI,954.5,0.0018,0.0018,9061.884,151.0314,2.51719,0.10488291666666667
63ZN,962.06,6.5,0.4,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,965.2,0.3,0.06,1422.0,23.7,0.395,0.016458333333333332
62CU,968.9,0.00031,7e-05,580.38,9.673,0.16121666666666667,0.0067173611111111114
62CU,971.0,0.0001,3e-05,580.38,9.673,0.16121666666666667,0.0067173611111111114
56CO,977.372,1.421,0.006,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
61FE,978.0,0.07,0.04,358.8,5.98,0.09966666666666667,0.004152777777777778
61FE,984.1,0.59,0.13,358.8,5.98,0.09966666666666667,0.004152777777777778
60CU,984.5,0.08,0.04,1422.0,23.7,0.395,0.016458333333333332
55CO,984.6,0.52,0.1,63108.0,1051.8,17.53,0.7304166666666667
61FE,989.2,0.59,0.13,358.8,5.98,0.09966666666666667,0.004152777777777778
63ZN,989.6,0.0039,0.0011,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,994.0,0.04,0.03,1422.0,23.7,0.395,0.016458333333333332
56CO,996.948,0.111,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
FE-53m,1011.5,86.0,11.0,152.4,2.54,0.042333333333333334,0.001763888888888889
61CU,1014.8,0.01,0.004,11998.8,199.98,3.3329999999999997,0.138875
60CU,1027.0,0.09,0.05,1422.0,23.7,0.395,0.016458333333333332
61FE,1027.42,41.0,3.0,358.8,5.98,0.09966666666666667,0.004152777777777778
61CU,1032.162,0.043,0.009,11998.8,199.98,3.3329999999999997,0.138875
60CU,1035.2,3.7,0.18,1422.0,23.7,0.395,0.016458333333333332
56CO,1037.843,14.05,0.04,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
66CU,1039.2,9.23,0.4615,307.2,5.12,0.08533333333333333,0.0035555555555555553
57NI,1046.68,0.134,0.004,128160.0,2136.0,35.6,1.4833333333333334
63ZN,1048.8,0.0044,0.0012,2308.2,38.47,0.6411666666666667,0.026715277777777775
61CU,1064.896,0.049,0.01,11998.8,199.98,3.3329999999999997,0.138875
62CU,1067.0,0.0006,0.0003,580.38,9.673,0.16121666666666667,0.0067173611111111114
61CU,1073.465,0.033,0.007,11998.8,199.98,3.3329999999999997,0.138875
56CO,1088.894,0.055,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
61CU,1089.11,0.00061,3.05e-05,11998.8,199.98,3.3329999999999997,0.138875
61FE,1097.8,0.67,0.07,358.8,5.98,0.09966666666666667,0.004152777777777778
59FE,1099.245,56.5,1.8,3844368.0,64072.8,1067.88,44.495
61CU,1099.56,0.25,0.04,11998.8,199.98,3.3329999999999997,0.138875
60CU,1110.5,1.06,0.18,1422.0,23.7,0.395,0.016458333333333332
65NI,1115.53,15.43,0.13,9061.884,151.0314,2.51719,0.10488291666666667
65ZN,1115.539,50.04,0.1,21075550.0,351259.1666666667,5854.319444444444,243.92997685185185
61CU,1117.822,0.032,0.007,11998.8,199.98,3.3329999999999997,0.138875
63ZN,1123.72,0.111,0.012,2308.2,38.47,0.6411666666666667,0.026715277777777775
62CU,1128.82,0.0318,0.0023,580.38,9.673,0.16121666666666667,0.0067173611111111114
63ZN,1130.67,0.013,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
61CU,1132.351,0.09,0.017,11998.8,199.98,3.3329999999999997,0.138875
56CO,1140.368,0.132,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
62ZN,1141.91,0.035,0.003,33336.0,555.6,9.26,0.3858333333333333
63ZN,1149.5,0.019,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
56CO,1159.944,0.094,0.006,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
63ZN,1169.6,0.0077,0.0017,2308.2,38.47,0.6411666666666667,0.026715277777777775
62CU,1172.97,0.342,0.0171,580.38,9.673,0.16121666666666667,0.0067173611111111114
60CU,1173.2,0.26,0.09,1422.0,23.7,0.395,0.016458333333333332
CO-60g,1173.228,99.85,0.03,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
56CO,1175.101,2.252,0.006,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
61CU,1185.234,3.7,0.7,11998.8,199.98,3.3329999999999997,0.138875
62ZN,1186.2,0.0039,0.0013,33336.0,555.6,9.26,0.3858333333333333
56CO,1198.888,0.049,0.005,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
61FE,1205.07,42.0,2.1,358.8,5.98,0.09966666666666667,0.004152777777777778
63ZN,1208.8,0.012,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
55CO,1212.8,0.26,0.03,63108.0,1051.8,17.53,0.7304166666666667
62ZN,1221.5,0.0015,0.0003,33336.0,555.6,9.26,0.3858333333333333
60CU,1224.0,0.022,0.022,1422.0,23.7,0.395,0.016458333333333332
57NI,1224.0,0.063,0.003,128160.0,2136.0,35.6,1.4833333333333334
63ZN,1233.7,0.0025,0.0008,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,1234.2,0.11,0.04,1422.0,23.7,0.395,0.016458333333333332
56CO,1238.288,66.46,0.12,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,1271.92,0.02,0.0007,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
61FE,1275.0,0.59,0.13,358.8,5.98,0.09966666666666667,0.004152777777777778
57NI,1279.99,0.0096,0.0008,128160.0,2136.0,35.6,1.4833333333333334
61FE,1285.7,0.36,0.06,358.8,5.98,0.09966666666666667,0.004152777777777778
FE-53g,1288.0,0.04,0.04,510.6,8.51,0.14183333333333334,0.0059097222222222225
59FE,1291.59,43.2,1.4,3844368.0,64072.8,1067.88,44.495
60CU,1293.7,1.85,0.18,1422.0,23.7,0.395,0.016458333333333332
60CU,1307.1,0.11,0.03,1422.0,23.7,0.395,0.016458333333333332
55CO,1316.6,7.1,0.3,63108.0,1051.8,17.53,0.7304166666666667
62CU,1321.6,0.001,0.0003,580.38,9.673,0.16121666666666667,0.0067173611111111114
63ZN,1327.03,0.069,0.005,2308.2,38.47,0.6411666666666667,0.026715277777777775
FE-53m,1328.1,87.0,11.0,152.4,2.54,0.042333333333333334,0.001763888888888889
CO-60g,1332.492,99.9826,0.0006,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
CO-60m,1332.492,0.25,0.0125,628.02,10.467,0.17445,0.00726875
66CU,1332.5,0.0037,0.0003,307.2,5.12,0.08533333333333333,0.0035555555555555553
60CU,1332.5,88.0,4.4,1422.0,23.7,0.395,0.016458333333333332
56CO,1335.4,0.1224,0.0012,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
63ZN,1341.7,0.0025,0.0008,2308.2,38.47,0.6411666666666667,0.026715277777777775
64CU,1345.77,0.475,0.011,45723.6,762.06,12.700999999999999,0.5292083333333333
57NI,1350.52,0.002,0.001,128160.0,2136.0,35.6,1.4833333333333334
56CO,1360.212,4.283,0.012,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,1370.0,2.9,0.3,63108.0,1051.8,17.53,0.7304166666666667
63ZN,1374.47,0.034,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
57NI,1377.63,81.7,2.4,128160.0,2136.0,35.6,1.4833333333333334
61FE,1381.4,0.39,0.05,358.8,5.98,0.09966666666666667,0.004152777777777778
62ZN,1389.1,0.0117,0.0012,33336.0,555.6,9.26,0.3858333333333333
63ZN,1389.66,0.043,0.006,2308.2,38.47,0.6411666666666667,0.026715277777777775
63ZN,1392.55,0.097,0.015,2308.2,38.47,0.6411666666666667,0.026715277777777775
FE-53g,1397.6,0.008,0.004,510.6,8.51,0.14183333333333334,0.0059097222222222225
61FE,1403.9,0.11,0.05,358.8,5.98,0.09966666666666667,0.004152777777777778
55CO,1408.5,16.9,0.8,63108.0,1051.8,17.53,0.7304166666666667
63ZN,1412.08,0.75,0.04,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,1420.1,0.114,0.018,1422.0,23.7,0.395,0.016458333333333332
60CU,1425.1,0.07,0.018,1422.0,23.7,0.395,0.016458333333333332
62ZN,1429.7,0.028,0.003,33336.0,555.6,9.26,0.3858333333333333
56CO,1442.746,0.18,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
63ZN,1445.8,0.0025,0.0008,2308.2,38.47,0.6411666666666667,0.026715277777777775
61CU,1446.492,0.045,0.008,11998.8,199.98,3.3329999999999997,0.138875
60CU,1451.4,0.17,0.03,1422.0,23.7,0.395,0.016458333333333332
56CO,1462.322,0.074,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
63ZN,1479.1,0.0016,0.0008,2308.2,38.47,0.6411666666666667,0.026715277777777775
59FE,1481.7,0.059,0.006,3844368.0,64072.8,1067.88,44.495
65NI,1481.84,23.59,1.1795,9061.884,151.0314,2.51719,0.10488291666666667
62ZN,1485.1,0.0005,0.0003,33336.0,555.6,9.26,0.3858333333333333
60CU,1486.0,0.03,0.03,1422.0,23.7,0.395,0.016458333333333332
62ZN,1525.9,0.0057,0.0014,33336.0,555.6,9.26,0.3858333333333333
61FE,1538.8,0.26,0.05,358.8,5.98,0.09966666666666667,0.004152777777777778
61CU,1542.204,0.026,0.005,11998.8,199.98,3.3329999999999997,0.138875
63ZN,1547.04,0.122,0.007,2308.2,38.47,0.6411666666666667,0.026715277777777775
55CO,1556.0,0.046,0.01,63108.0,1051.8,17.53,0.7304166666666667
56NI,1561.8,14.0,0.6,524880.0,8748.0,145.8,6.075
63ZN,1573.71,0.0164,0.0017,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,1579.5,0.09,0.04,1422.0,23.7,0.395,0.016458333333333332
57NI,1603.28,0.0039,0.0007,128160.0,2136.0,35.6,1.4833333333333334
60CU,1606.0,0.018,0.018,1422.0,23.7,0.395,0.016458333333333332
61CU,1609.625,0.021,0.004,11998.8,199.98,3.3329999999999997,0.138875
61FE,1618.9,0.35,0.05,358.8,5.98,0.09966666666666667,0.004152777777777778
FE-53g,1619.9,0.5,0.09,510.6,8.51,0.14183333333333334,0.0059097222222222225
55CO,1622.3,0.045,0.006,63108.0,1051.8,17.53,0.7304166666666667
65NI,1623.42,0.498,0.014,9061.884,151.0314,2.51719,0.10488291666666667
56CO,1640.475,0.0616,0.0019,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
61FE,1645.95,6.7,0.5,358.8,5.98,0.09966666666666667,0.004152777777777778
61FE,1659.3,0.75,0.09,358.8,5.98,0.09966666666666667,0.004152777777777778
61CU,1662.0,0.052,0.01,11998.8,199.98,3.3329999999999997,0.138875
63ZN,1667.2,0.0014,0.0006,2308.2,38.47,0.6411666666666667,0.026715277777777775
CO-58g,1674.725,0.517,0.01,6122304.0,102038.4,1700.64,70.86
60CU,1693.0,0.04,0.03,1422.0,23.7,0.395,0.016458333333333332
FE-53m,1712.6,1.3,0.14,152.4,2.54,0.042333333333333334,0.001763888888888889
60CU,1713.0,0.0,0.0,1422.0,23.7,0.395,0.016458333333333332
62CU,1717.6,0.0028,0.0004,580.38,9.673,0.16121666666666667,0.0067173611111111114
65NI,1724.92,0.399,0.012,9061.884,151.0314,2.51719,0.10488291666666667
61CU,1729.473,0.054,0.01,11998.8,199.98,3.3329999999999997,0.138875
57NI,1730.44,0.052,0.003,128160.0,2136.0,35.6,1.4833333333333334
60CU,1735.4,0.062,0.018,1422.0,23.7,0.395,0.016458333333333332
63ZN,1754.9,0.0043,0.001,2308.2,38.47,0.6411666666666667,0.026715277777777775
57NI,1757.55,5.75,0.2,128160.0,2136.0,35.6,1.4833333333333334
60CU,1767.0,0.1,0.04,1422.0,23.7,0.395,0.016458333333333332
56CO,1771.357,15.41,0.06,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
60CU,1791.6,45.4,2.3,1422.0,23.7,0.395,0.016458333333333332
55CO,1792.1,0.082,0.013,63108.0,1051.8,17.53,0.7304166666666667
56CO,1810.757,0.64,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
60CU,1813.0,0.01,0.01,1422.0,23.7,0.395,0.016458333333333332
63ZN,1827.0,0.0042,0.0011,2308.2,38.47,0.6411666666666667,0.026715277777777775
61FE,1837.2,0.13,0.03,358.8,5.98,0.09966666666666667,0.004152777777777778
61CU,1840.7,0.0017,0.0006,11998.8,199.98,3.3329999999999997,0.138875
63ZN,1861.3,0.0139,0.002,2308.2,38.47,0.6411666666666667,0.026715277777777775
60CU,1861.6,4.8,0.3,1422.0,23.7,0.395,0.016458333333333332
63ZN,1866.1,0.02,0.003,2308.2,38.47,0.6411666666666667,0.026715277777777775
66CU,1872.2,0.00023,0.00023,307.2,5.12,0.08533333333333333,0.0035555555555555553
61FE,1879.4,0.25,0.04,358.8,5.98,0.09966666666666667,0.004152777777777778
61FE,1889.0,0.17,0.04,358.8,5.98,0.09966666666666667,0.004152777777777778
57NI,1897.42,0.028,0.003,128160.0,2136.0,35.6,1.4833333333333334
